"","x"
"1","Adelomyia.melanogenys"
"2","Aglaeactis.cupripennis"
"3","Aglaiocercus.coelestis"
"4","Aglaiocercus.kingi"
"5","Amazilia.amabilis"
"6","Amazilia.amazilia"
"7","Amazilia.castaneiventris"
"8","Amazilia.cyanifrons"
"9","Amazilia.fimbriata"
"10","Amazilia.franciae"
"11","Amazilia.rosenbergi"
"12","Amazilia.saucerrottei"
"13","Amazilia.tobaci"
"14","Amazilia.tzacatl"
"15","Amazilia.versicolor"
"16","Amazilia.viridigaster"
"17","Androdon.aequatorialis"
"18","Anthocephala.floriceps"
"19","Anthracothorax.nigricollis"
"20","Boissonneaua.flavescens"
"21","Boissonneaua.jardini"
"22","Calliphlox.mitchellii"
