LONGDECDEG,LATDECDEG,Patagona.gigas_AllData_Full logistic values
-69.6833,11.16667,0.043037087
-70.51667,8.83333,0.41454965
-79.36314,-4.56371,0.28848493
-75.716667,6.116667,0.028248062
-74.466667,4.766667,0.0032918223
-71.18333,8.26667,0.39183295
-68.98333,10.53333,0.0101648085
-74.009722,4.766111,0.16173768
-75.383333,6.25,0.018741284
-71.83333,8.06667,0.09211909
-74.083333,4.6,0.08421417
-74.083333,4.6,0.08421417
-74.083333,4.6,0.08421417
-76.951217,1.8401,0.034149785
-78.96675,-4.13329,0.2448735
-75.6,6.283333,0.08395433
-76.528622,2.497128,0.2739522
-74.016667,4.666667,0.08421417
-75.505213,5.071837,0.102308504
-78.116667,0.816667,0.12913649
-79.083334,-2.93,0.6156157
-72.3833,7.65,0.050865524
-76.95,1.833333,0.034149785
-72.966667,8.016667,0.2143184
-72.05,7.4167,0.050865524
-75.6,4.05,0.118392214
-69.26667,9.91667,0.0074755745
-69.26667,9.9,0.0074755745
-69.26667,9.88333,0.0074755745
-69.26667,9.88333,0.0074755745
-73.216667,6.116667,0.37640604
-79.15,-4.1,0.2448735
-75.633333,6.083333,0.028248062
-70.43333,8.9,0.41454965
-70.4,8.9,0.0069800694
-70.48333,8.86667,0.41454965
-73.9333,4.4833,0.08421417
-76.333333,1.833333,0.17339289
-79.083333,-0.666667,0.030933695
-77.533333,-0.05,0.14974779
-72.683333,6.333333,0.39629412
-79.80005,-3.94996,0.16478947
-70.116685,9.55,0.11734819
-75.26675,5.2664,0.024155064
-77.863555,0.440887,0.24829768
-77.383333,-0.133333,0.00106643
-74.083333,4.6,0.08421417
-76.95,2.666667,0.038117684
-74.066667,4.866667,0.16173768
-78.566667,-4.0,0.022667589
-74.083333,4.483333,0.08421417
-72.3611233333333,7.55,0.050865524
-73.933333,4.533333,0.08421417
-73.966667,4.55,0.08421417
-73.683333,5.15,0.19990481
-78.916667,-0.8,0.030933695
-74.083333,4.6,0.08421417
-76.466667,2.333333,0.2739522
-77.533333,0.916667,0.28160456
-72.35,7.45,0.050865524
-78.716667,-0.55,0.7056032
-77.8,-0.68333,0.060948428
-77.645853,0.680287,0.24829768
-72.666667,5.416667,0.11581926
-73.2,6.083333,0.37640604
-78.86888,-2.68712,0.46719706
-69.56667,9.775,0.22212113
-71.733333,8.333333,0.028982999
-71.0833,8.75,0.1360865
-71.06667,8.75,0.1360865
-77.783333,0.9,0.28160456
-74.0,5.0,0.16173768
-69.66667,11.16667,0.043037087
-75.433333,4.3,0.18657565
-79.414308,-3.943806,0.16478947
-75.48,5.077,0.102308504
-76.131411,2.561464,0.20741683
-76.057,2.584,0.20741683
-77.166667,0.666667,0.0038515928
-75.112032,6.98266,0.009170828
-79.16564,-3.13063,0.6156157
-77.166667,1.166667,0.13234244
-77.816667,1.116667,0.28160456
-73.55,10.616667,0.113089524
-76.744722,1.069722,0.002216579
-76.079033,6.41547,0.07837995
-76.816667,2.416667,0.2739522
-76.666667,2.333333,0.2739522
-72.993028,10.361611,0.009785926
-73.883333,4.55,0.09328105
-73.084194,7.344611,0.022355556
-73.096028,7.272611,0.022355556
-76.2,2.266667,0.20741683
-76.603297,3.563297,0.042173143
-73.85,4.533333,0.09328105
-74.15,4.666667,0.08421417
-75.683333,5.916667,0.028248062
-74.366667,4.35,0.08421417
-76.3,2.483333,0.20741683
-73.883333,5.0,0.19990481
-73.6,4.816667,0.19990481
-69.70417,11.18,0.043037087
-73.416667,4.583333,0.09328105
-74.0,4.75,0.16173768
-77.7,0.583333,0.24829768
-78.014167,-0.421389,0.9110791
-71.7333,8.15,0.09211909
-73.866667,4.916667,0.19990481
-74.0,4.366667,0.08421417
-72.966667,7.783333,0.2143184
-76.6,2.583333,0.2739522
-76.083333,6.416667,0.07837995
-76.433333,2.166667,0.18553586
-76.15,6.65,0.07837995
-73.42,5.916667,0.26252186
-75.466667,6.833333,0.12793645
-70.516667,8.816667,0.41454965
-75.441,5.043,0.102308504
-78.421389,0.35,0.24543026
-75.757528,4.157528,0.118392214
-74.104028,4.673333,0.08421417
-75.495678,5.054595,0.102308504
-79.86672,-4.31663,0.16478947
-79.8575,-4.321111,0.30146286
-72.933333,10.533333,0.009785926
-73.966667,4.716667,0.16173768
-76.916667,2.583333,0.038117684
-74.3,4.7,0.16173768
-75.333333,5.083333,0.079205826
-74.166667,4.916667,0.16173768
-75.883333,2.383333,0.02330415
-74.133333,5.0,0.16173768
-78.216667,-2.066667,0.10373453
-75.5,4.583333,0.18657565
-79.4,-4.783333,0.28848493
-75.333333,6.283333,0.018741284
-73.1,7.8,0.2143184
-77.77429,0.497404,0.24829768
-75.793603,5.535228,0.0314136
-77.068444,1.74325,0.034149785
-76.889,1.799,0.18553586
-73.5,10.916667,0.37716883
-73.616667,10.933333,0.37716883
-73.5,10.916667,0.37716883
-74.083333,4.75,0.16173768
-76.3,2.483333,0.20741683
-75.533333,5.083333,0.102308504
-77.073367,1.53985,0.16121009
-75.2667,5.2833,0.024155064
-78.066667,0.883333,0.12913649
-76.945017,1.773383,0.034149785
-79.116667,-2.866667,0.6156157
-78.7,-2.36,0.46719706
-75.583333,6.25,0.08395433
-78.766667,-0.016667,0.4681375
-78.743134,-0.035019,0.4681375
-73.2,5.2,0.15811336
-70.3,9.35,0.11734819
-75.856336,5.598278,0.0314136
-74.05,4.6,0.08421417
-73.8,4.283333,0.09328105
-76.083333,2.333333,0.20741683
-70.808333,8.791667,0.41454965
-70.88333,8.55,0.0059774136
-70.9,8.75,0.41454965
-76.95,2.533333,0.038117684
-72.75,7.3,0.12479091
-76.276097,1.600061,0.021096911
-78.75,-4.36667,0.018529845
-78.4333,-0.1667,0.4681375
-71.866685,8.25,0.028982999
-72.283333,6.133333,0.02017243
-70.16667,9.53333,0.11734819
-78.15,-2.1,0.10373453
-79.13341,-3.56664,0.24249749
-69.60417,9.6975,0.22212113
-74.166667,5.133333,0.16173768
-76.618611,2.256667,0.2739522
-79.15,-4.65,0.28848493
-72.2333,7.8667,0.08095097
-74.166667,5.1,0.16173768
-72.633333,7.45,0.12479091
-75.416667,2.333333,0.02330415
-76.074583,6.451251,0.07837995
-76.078625,6.429481,0.07837995
-76.070847,6.417796,0.07837995
-78.908333,-3.283333,0.6156157
-79.37653,-2.85847,0.6156157
-77.283333,1.216667,0.16121009
-74.4,4.75,0.16173768
-72.81667,10.03333,0.0035092207
-72.9333,9.85,0.021429071
-72.9167,10.0833,0.021429071
-72.7833,10.0333,0.0035092207
-72.59103,10.32648,0.06412242
-72.916667,10.483333,0.009785926
-72.5,5.833333,0.4232391
-76.383333,2.466667,0.20741683
-76.5916665,2.475,0.2739522
-76.583333,2.7,0.04794757
-73.05,8.1,0.2143184
-78.183333,-2.083333,0.10373453
-76.532222,2.502778,0.2739522
-76.45,2.4,0.2739522
-76.383333,2.35,0.20741683
-78.383333,-2.2,0.10373453
-70.61667,10.31667,0.0031622418
-75.5177,6.226833,0.08395433
-79.80964,-4.30908,0.16478947
-76.089451,6.435972,0.07837995
-72.0,7.9167,0.08095097
-74.033333,4.4,0.08421417
-73.083333,7.8,0.2143184
-73.916667,3.1,0.001478556
-74.090194,4.43375,0.08421417
-79.81349,-4.32356,0.30146286
-74.010778,4.556944,0.08421417
-77.91667,-0.68333,0.9110791
-79.25007,-3.24997,0.6156157
-76.633333,2.75,0.04794757
-75.6,6.066667,0.028248062
-72.35,7.4333,0.050865524
-77.983333,1.216667,1.0889391E-4
-78.81667,-0.233333,0.4681375
-77.275833,0.515367,0.0038515928
-75.566667,4.633333,0.18657565
-76.266667,1.883333,0.17339289
-76.033333,2.566667,0.20741683
-76.633333,3.5,0.042173143
-74.066667,4.566667,0.08421417
-74.283333,4.966667,0.16173768
-78.179697,-1.522207,0.091144346
-74.069375,11.106986,0.021754034
-73.483333,10.966667,0.37716883
-75.533333,6.466667,0.08395433
-73.05,7.783333,0.2143184
-76.483333,2.333333,0.2739522
-73.6,10.566667,0.113089524
-73.6,10.566667,0.113089524
-77.466667,1.283333,0.04182727
-71.625015,8.39165,0.028982999
-75.565069,6.250892,0.08395433
-76.170278,2.240278,0.20741683
-73.266667,4.85,0.014437542
-74.35,4.6,0.08421417
-70.7333,8.8167,0.41454965
-70.6,8.85,0.41454965
-77.396211,1.242064,0.16121009
-75.590494,4.736057,0.102308504
-72.05,8.13333,0.08095097
-72.941667,10.291667,0.009785926
-73.716667,5.083333,0.19990481
-72.683333,6.333333,0.39629412
-75.283333,5.7,0.010868766
-73.95,4.916667,0.16173768
-79.783333,-4.35,0.30146286
-74.083333,4.75,0.16173768
-73.166667,5.25,0.15811336
-79.09183,-2.94754,0.6156157
-71.0667,8.6333,0.39183295
-74.11167,4.927484,0.16173768
-72.4,7.48333,0.050865524
-72.45,7.483315,0.12479091
-77.0,2.521389,0.038117684
-78.7,-0.016667,0.4681375
-71.08333,8.56667,0.39183295
-69.2667,9.9333,0.0074755745
-76.688056,2.356389,0.2739522
-70.73333,8.98333,0.41454965
-78.64964,-3.00277,0.28717294
-75.416667,4.55,0.18657565
-75.416667,4.533333,0.18657565
-75.366667,4.433333,0.024600318
-79.116667,-4.383333,0.28848493
-72.833333,7.2,0.12479091
-74.083333,4.883333,0.16173768
-74.012778,4.778944,0.16173768
-76.4,2.5,0.20741683
-73.35,5.516667,0.15811336
-77.285278,1.234167,0.16121009
-76.183333,6.333333,0.07837995
-74.033333,4.7,0.16173768
-79.7,-4.36667,0.30146286
-71.083315,8.65,0.39183295
-77.468889,1.210833,0.04182727
-72.931722,7.294417,0.022355556
-74.05,4.85,0.16173768
-72.947389,10.363897,0.009785926
-76.082,2.534,0.20741683
-75.583333,4.733333,0.102308504
-73.054278,7.142556,0.01070966
-77.916667,-0.233333,0.86306775
-73.45,5.7,0.26252186
-76.519722,1.238333,0.12988053
-77.533333,1.25,0.04182727
-75.4,6.966667,0.009170828
-71.7667,8.3667,0.028982999
-71.7667,8.3667,0.028982999
-74.383333,4.766667,0.16173768
-79.133333,-4.866667,0.11130545
