LONGDECDEG,LATDECDEG,Pterophanes.cyanopterus_AllData_Full logistic values
-69.6833,11.16667,0.19334163
-70.51667,8.83333,0.40427762
-79.36314,-4.56371,0.40305328
-75.716667,6.116667,0.08722299
-74.466667,4.766667,0.035053402
-71.18333,8.26667,0.41974366
-68.98333,10.53333,0.09048413
-74.009722,4.766111,0.5072739
-75.383333,6.25,0.060867343
-71.83333,8.06667,0.17386024
-74.083333,4.6,0.642231
-74.083333,4.6,0.642231
-74.083333,4.6,0.642231
-76.951217,1.8401,0.068286955
-78.96675,-4.13329,0.44172478
-75.6,6.283333,0.15976429
-76.528622,2.497128,0.289968
-75.505213,5.071837,0.1878039
-78.8523,-2.97591,0.60271084
-78.966667,-1.75,0.53989923
-78.116667,0.816667,0.38215676
-79.083334,-2.93,0.79381555
-72.3833,7.65,0.06511607
-76.95,1.833333,0.068286955
-72.966667,8.016667,0.36715642
-72.05,7.4167,0.06511607
-75.6,4.05,0.57040614
-69.26667,9.91667,0.02924891
-69.26667,9.9,0.02924891
-69.26667,9.88333,0.02924891
-69.26667,9.88333,0.02924891
-73.216667,6.116667,0.3838041
-75.633333,6.083333,0.08722299
-70.43333,8.9,0.40427762
-70.4,8.9,0.020963125
-70.48333,8.86667,0.40427762
-73.9333,4.4833,0.642231
-76.333333,1.833333,0.5801059
-79.083333,-0.666667,0.16337533
-77.533333,-0.05,0.558305
-72.683333,6.333333,0.40407732
-79.80005,-3.94996,0.091512635
-70.116685,9.55,0.24538383
-75.26675,5.2664,0.31898198
-77.383333,-0.133333,0.037546035
-74.083333,4.6,0.642231
-76.95,2.666667,0.03974521
-74.066667,4.866667,0.5072739
-78.566667,-4.0,0.54673487
-72.3611233333333,7.55,0.06511607
-73.933333,4.533333,0.642231
-73.683333,5.15,0.48968682
-74.083333,4.6,0.642231
-76.466667,2.333333,0.289968
-77.533333,0.916667,0.5533233
-72.35,7.45,0.06511607
-77.8,-0.68333,0.048020642
-72.666667,5.416667,0.15130895
-73.2,6.083333,0.3838041
-78.86888,-2.68712,0.41739118
-69.56667,9.775,0.30128497
-71.733333,8.333333,0.13144225
-78.98122,-2.88049,0.79381555
-71.0833,8.75,0.31157365
-71.06667,8.75,0.31157365
-77.783333,0.9,0.5533233
-74.0,5.0,0.5072739
-69.66667,11.16667,0.19334163
-79.414308,-3.943806,0.091512635
-75.48,5.077,0.1878039
-76.131411,2.561464,0.4341268
-76.057,2.584,0.4341268
-77.166667,0.666667,0.155377
-75.112032,6.98266,0.024440195
-79.16564,-3.13063,0.79381555
-77.166667,1.166667,0.57664555
-77.816667,1.116667,0.5533233
-73.55,10.616667,0.101290554
-76.744722,1.069722,0.012189225
-76.079033,6.41547,0.13224103
-76.816667,2.416667,0.289968
-76.666667,2.333333,0.289968
-72.993028,10.361611,0.024443757
-73.883333,4.55,0.19463737
-73.084194,7.344611,0.16927932
-73.096028,7.272611,0.16927932
-76.2,2.266667,0.4341268
-76.603297,3.563297,0.10133504
-73.85,4.533333,0.19463737
-74.15,4.666667,0.642231
-75.683333,5.916667,0.08722299
-74.366667,4.35,0.642231
-76.3,2.483333,0.4341268
-73.883333,5.0,0.48968682
-73.6,4.816667,0.48968682
-69.70417,11.18,0.19334163
-73.416667,4.583333,0.19463737
-74.0,4.75,0.5072739
-78.014167,-0.421389,0.6216435
-71.7333,8.15,0.17386024
-74.0,4.366667,0.642231
-78.416667,0.466667,0.26291338
-76.6,2.583333,0.289968
-76.083333,6.416667,0.13224103
-76.433333,2.166667,0.41199315
-76.15,6.65,0.13224103
-73.42,5.916667,0.29940754
-75.466667,6.833333,0.14011914
-70.516667,8.816667,0.40427762
-78.4,-0.3,0.340512
-75.441,5.043,0.1878039
-75.757528,4.157528,0.57040614
-74.104028,4.673333,0.642231
-75.495678,5.054595,0.1878039
-79.86672,-4.31663,0.091512635
-79.8575,-4.321111,0.21105114
-72.933333,10.533333,0.024443757
-73.966667,4.716667,0.5072739
-76.916667,2.583333,0.03974521
-74.3,4.7,0.5072739
-74.166667,4.916667,0.5072739
-75.883333,2.383333,0.09152779
-74.133333,5.0,0.5072739
-78.216667,-2.066667,0.21700521
-75.5,4.583333,0.45075387
-75.333333,6.283333,0.060867343
-73.1,7.8,0.36715642
-77.77429,0.497404,0.78612953
-75.793603,5.535228,0.23706257
-77.068444,1.74325,0.068286955
-76.889,1.799,0.41199315
-73.5,10.916667,0.27915388
-73.616667,10.933333,0.27915388
-73.5,10.916667,0.27915388
-74.083333,4.75,0.5072739
-76.3,2.483333,0.4341268
-75.533333,5.083333,0.1878039
-77.073367,1.53985,0.5085535
-75.2667,5.2833,0.31898198
-78.066667,0.883333,0.38215676
-76.945017,1.773383,0.068286955
-78.7,-2.36,0.41739118
-75.583333,6.25,0.15976429
-78.766667,-0.016667,0.33592096
-78.743134,-0.035019,0.33592096
-73.2,5.2,0.5632833
-70.3,9.35,0.24538383
-78.26667,0.116667,0.340512
-75.856336,5.598278,0.23706257
-74.05,4.6,0.642231
-73.8,4.283333,0.19463737
-76.083333,2.333333,0.4341268
-70.808333,8.791667,0.40427762
-70.88333,8.55,0.021290489
-70.9,8.75,0.40427762
-76.95,2.533333,0.03974521
-72.75,7.3,0.6063214
-76.276097,1.600061,0.07071663
-78.75,-4.36667,0.33835366
-78.4333,-0.1667,0.33592096
-71.866685,8.25,0.13144225
-72.283333,6.133333,0.026671674
-70.16667,9.53333,0.24538383
-78.15,-2.1,0.21700521
-79.13341,-3.56664,0.67344135
-69.60417,9.6975,0.30128497
-74.166667,5.133333,0.5072739
-76.618611,2.256667,0.289968
-79.15,-4.65,0.40305328
-72.2333,7.8667,0.25197196
-74.166667,5.1,0.5072739
-72.633333,7.45,0.6063214
-78.2,-0.333333,0.6216435
-75.416667,2.333333,0.09152779
-76.074583,6.451251,0.13224103
-76.078625,6.429481,0.13224103
-76.070847,6.417796,0.13224103
-78.516667,-0.25,0.33592096
-78.5,-0.21667,0.33592096
-78.366667,-0.666667,0.6216435
-77.283333,1.216667,0.5085535
-74.4,4.75,0.5072739
-72.81667,10.03333,0.012919985
-72.9333,9.85,0.03778739
-72.9167,10.0833,0.03778739
-72.7833,10.0333,0.012919985
-72.59103,10.32648,0.09779864
-72.916667,10.483333,0.024443757
-72.5,5.833333,0.422757
-76.383333,2.466667,0.4341268
-76.5916665,2.475,0.289968
-76.583333,2.7,0.07046421
-73.05,8.1,0.36715642
-78.183333,-2.083333,0.21700521
-76.532222,2.502778,0.289968
-76.45,2.4,0.289968
-78.383333,-2.2,0.21700521
-70.61667,10.31667,0.088975795
-75.5177,6.226833,0.15976429
-79.80964,-4.30908,0.091512635
-76.089451,6.435972,0.13224103
-72.0,7.9167,0.25197196
-74.033333,4.4,0.642231
-73.083333,7.8,0.36715642
-73.916667,3.1,0.0064465087
-78.884,-1.434,0.6496134
-74.090194,4.43375,0.642231
-79.81349,-4.32356,0.21105114
-77.91667,-0.68333,0.6216435
-79.25007,-3.24997,0.79381555
-76.633333,2.75,0.07046421
-75.6,6.066667,0.08722299
-72.35,7.4333,0.06511607
-77.983333,1.216667,0.009112261
-78.81667,-0.233333,0.33592096
-77.275833,0.515367,0.155377
-75.566667,4.633333,0.45075387
-76.266667,1.883333,0.5801059
-76.033333,2.566667,0.4341268
-76.633333,3.5,0.10133504
-74.283333,4.966667,0.5072739
-78.179697,-1.522207,0.1778849
-74.069375,11.106986,0.030886827
-73.483333,10.966667,0.27915388
-75.533333,6.466667,0.15976429
-73.05,7.783333,0.36715642
-73.6,10.566667,0.101290554
-73.6,10.566667,0.101290554
-77.466667,1.283333,0.18221712
-71.625015,8.39165,0.13144225
-75.565069,6.250892,0.15976429
-76.170278,2.240278,0.4341268
-73.266667,4.85,0.017855547
-74.35,4.6,0.642231
-70.7333,8.8167,0.40427762
-70.6,8.85,0.40427762
-75.590494,4.736057,0.1878039
-72.05,8.13333,0.25197196
-72.941667,10.291667,0.024443757
-73.716667,5.083333,0.48968682
-72.683333,6.333333,0.40407732
-75.283333,5.7,0.09767763
-79.783333,-4.35,0.21105114
-74.083333,4.75,0.5072739
-73.166667,5.25,0.5632833
-71.0667,8.6333,0.41974366
-74.11167,4.927484,0.5072739
-72.4,7.48333,0.06511607
-72.45,7.483315,0.6063214
-77.0,2.521389,0.03974521
-78.7,-0.016667,0.33592096
-71.08333,8.56667,0.41974366
-69.2667,9.9333,0.02924891
-76.688056,2.356389,0.289968
-70.73333,8.98333,0.40427762
-75.416667,4.533333,0.45075387
-75.366667,4.433333,0.14184342
-72.833333,7.2,0.6063214
-74.083333,4.883333,0.5072739
-74.012778,4.778944,0.5072739
-76.4,2.5,0.4341268
-78.4,-0.21,0.340512
-73.35,5.516667,0.5632833
-77.285278,1.234167,0.5085535
-76.183333,6.333333,0.13224103
-74.033333,4.7,0.5072739
-79.7,-4.36667,0.21105114
-71.083315,8.65,0.41974366
-77.468889,1.210833,0.18221712
-78.6,-0.1,0.33592096
-74.05,4.85,0.5072739
-72.947389,10.363897,0.024443757
-76.082,2.534,0.4341268
-75.583333,4.733333,0.1878039
-73.054278,7.142556,0.19003856
-77.916667,-0.233333,0.340512
-73.45,5.7,0.29940754
-76.519722,1.238333,0.5322503
-78.587981,-0.146287,0.33592096
-77.533333,1.25,0.18221712
-75.4,6.966667,0.024440195
-71.7667,8.3667,0.13144225
-71.7667,8.3667,0.13144225
-74.383333,4.766667,0.5072739
-79.133333,-4.866667,0.21251321
